n,restricted_bias,global_bias,restricted_success,global_success,n3_singularity
1,NA,NA,NA,NA,degenerate
2,0,1,0.5,1,false
3,0,1,0.5,1,false
4,0,1,0.5,1,false
5,0,1,0.5,1,false
6,0,1,0.5,1,false
7,0,1,0.5,1,false
8,0,1,0.5,1,false
9,0,1,0.5,1,false
10,0,1,0.5,1,false
11,0,1,0.5,1,false
12,0,1,0.5,1,false
