dimension,rank,injective_norm,projective_norm,ratio,separates
1,1,1,1,1,false
2,2,1,2,2,true
3,3,1,3,3,true
4,4,1,4,4,true
5,5,1,5,5,true
6,6,1,6,6,true
7,7,1,7,7,true
8,8,1,8,8,true
9,9,1,9,9,true
10,10,1,10,10,true
11,11,1,11,11,true
12,12,1,12,12,true
