dimension,nontrivial,unitary_saturates_contraction,replacement_channel_erases,selects_n3
1,false,true,true,false
2,true,true,true,false
3,true,true,true,false
4,true,true,true,false
5,true,true,true,false
6,true,true,true,false
7,true,true,true,false
8,true,true,true,false
9,true,true,true,false
10,true,true,true,false
11,true,true,true,false
12,true,true,true,false
