n,classical_spectrality,classical_strong_symmetry,n3_selected,status
1,true,true,false,COUNTERFAMILY
2,true,true,false,COUNTERFAMILY
3,true,true,false,ACCEPTED_BUT_NOT_UNIQUE
4,true,true,false,COUNTERFAMILY
5,true,true,false,COUNTERFAMILY
6,true,true,false,COUNTERFAMILY
7,true,true,false,COUNTERFAMILY
8,true,true,false,COUNTERFAMILY
9,true,true,false,COUNTERFAMILY
10,true,true,false,COUNTERFAMILY
11,true,true,false,COUNTERFAMILY
12,true,true,false,COUNTERFAMILY
