N,K_real,L_real,K_composite_direct,K_composite_bilocal,identity_holds
1,1,0,1,1,true
2,3,1,10,10,true
3,6,3,45,45,true
4,10,6,136,136,true
5,15,10,325,325,true
6,21,15,666,666,true
7,28,21,1225,1225,true
8,36,28,2080,2080,true
9,45,36,3321,3321,true
10,55,45,5050,5050,true
11,66,55,7381,7381,true
12,78,66,10440,10440,true
