n,K_classical,K_complex_quantum,NRH_classical,NRH_complex_quantum,unique_geometry,n3_selected
1,1,1,true,true,false,false
2,2,4,true,true,false,false
3,3,9,true,true,false,false
4,4,16,true,true,false,false
5,5,25,true,true,false,false
6,6,36,true,true,false,false
7,7,49,true,true,false,false
8,8,64,true,true,false,false
9,9,81,true,true,false,false
10,10,100,true,true,false,false
11,11,121,true,true,false,false
12,12,144,true,true,false,false
