dimension,conditional_pair_residual,abs_chi_model_A,abs_chi_model_B,status
2,0.0000000000000000e+00,1.0000000000000000e+00,6.1232339957367660e-17,PROVED_NO_GO
3,7.9157578322359470e-17,1.0000000000000000e+00,1.2412670766236366e-16,PROVED_NO_GO
4,0.0000000000000000e+00,1.0000000000000000e+00,6.2063353831181830e-17,PROVED_NO_GO
5,3.1035639909166695e-17,1.0000000000000000e+00,8.3266726846886740e-17,PROVED_NO_GO
6,3.9894301576020060e-17,9.9999999999999990e-01,5.5511151231257830e-17,PROVED_NO_GO
7,3.3249203951705780e-17,9.9999999999999980e-01,3.1031676915590914e-17,PROVED_NO_GO
8,0.0000000000000000e+00,1.0000000000000000e+00,4.3087406683712140e-17,PROVED_NO_GO
