n,trials,identity_failures,equality_condition_failures,max_observed_loss
1,200,0,0,0
2,200,0,0,511189/631098
3,200,0,0,15929/22302
4,200,0,0,28121/44730
5,200,0,0,596729/1178100
6,200,0,0,18543013/37401840
7,200,0,0,16785139/37901520
8,200,0,0,1630043/3742200
9,200,0,0,549668459/1422969600
10,200,0,0,92977907/210886560
11,200,0,0,923040227/2079221760
12,200,0,0,2627936829161111773/6167546883320697600
