dimension_n,CEU_max_residual,CER_max_residual,RDE_max_residual,all_local_axioms_pass
2,0.0,2.482534153247273e-16,2.559684031907329e-14,True
3,0.0,2.498001805406602e-16,1.3536511256786497e-15,True
4,0.0,2.3714374201337736e-16,1.0934428697813141e-15,True
5,0.0,2.37169119917815e-16,1.168911388945646e-15,True
6,0.0,2.276126435504334e-16,2.023017827855918e-15,True
7,0.0,1.6493562521320161e-16,1.2761550657736448e-15,True
8,0.0,1.7995203034232104e-16,1.5670536207470074e-15,True
9,0.0,2.619375006920454e-16,1.415390978938603e-15,True
10,0.0,1.9379472356412996e-16,1.290010023206094e-15,True
