n,trials,max_exact_identity_error,max_observed_loss,zero_loss_cases,equality_condition_failures
1,200,0,0,200,0
2,200,0,103/136,3,0
3,200,0,200/357,67,0
4,200,0,193/385,50,0
5,200,0,461/1147,25,0
6,200,0,55/129,9,0
7,200,0,157/506,16,0
8,200,0,1059/2747,7,0
9,200,0,14/41,6,0
10,200,0,121/280,2,0
11,200,0,993/2870,2,0
12,200,0,1595/5253,0,0
