n,min_non_p2_radius_gap,max_non_p2_radius_gap,p2_radius_gap
2,0.109101281859661,0.319507910772894,0
3,0.167316822344396,0.55184557391536,0
4,0.2062994740159,0.741101126592248,0
5,0.23527550866827,0.903653938715879,0
6,0.258163624409598,1.04767251107922,0
7,0.276979973600516,1.17790642448278,0
8,0.292893218813452,1.29739670999407,0
9,0.306638725649365,1.40822468528069,0
10,0.318707930942039,1.51188643150958,0
11,0.329444772578269,1.60949863527887,0
12,0.339098923916635,1.70192007704123,0
