dimension,trials,max_same_joint_error,max_normalization_error
1,500,0,2.2204460492503131e-16
2,500,0,2.2204460492503131e-16
3,500,0,2.2204460492503131e-16
4,500,0,3.3306690738754696e-16
5,500,0,4.4408920985006262e-16
6,500,0,2.2204460492503131e-16
7,500,0,2.2204460492503131e-16
8,500,0,2.2204460492503131e-16
9,500,0,4.4408920985006262e-16
10,500,0,3.3306690738754696e-16
11,500,0,4.4408920985006262e-16
12,500,0,5.5511151231257827e-16
