dimension,microscopic_outcomes,accessible_outcomes,same_coarse_graining_max_abs_error,nonlinear_deformation_tv_gap
1,2,2,0,0.040759866973739678
2,3,3,0,0.033483319506666789
3,4,3,0,0.0091097088344104238
4,5,4,0,0.03332525713086984
5,6,4,0,0.055767403654306359
6,7,5,0,0.017598542103002227
7,8,5,0,0.034591964131384351
8,9,6,0,0.03066798262434501
9,10,6,0,0.030902534704433764
10,11,7,0,0.023745809955996205
11,12,7,0,0.022348105876841023
12,13,8,0,0.0234047067769469
