dimension,trials,profile_failures,tv_failures,arithmetic
1,200,0,0,exact_rational
2,200,0,0,exact_rational
3,200,0,0,exact_rational
4,200,0,0,exact_rational
5,200,0,0,exact_rational
6,200,0,0,exact_rational
7,200,0,0,exact_rational
8,200,0,0,exact_rational
9,200,0,0,exact_rational
10,200,0,0,exact_rational
11,200,0,0,exact_rational
12,200,0,0,exact_rational
16,50,0,0,exact_rational
24,50,0,0,exact_rational
32,50,0,0,exact_rational
48,50,0,0,exact_rational
64,50,0,0,exact_rational
