k,F_2_2,assoc_exact,unit_exact,symmetry_exact,product_lower_bound
0,4,True,True,True,True
1,5,True,True,True,True
2,6,True,True,True,True
3,7,True,True,True,True
4,8,True,True,True,True
5,9,True,True,True,True
6,10,True,True,True,True
7,11,True,True,True,True
8,12,True,True,True,True
9,13,True,True,True,True
10,14,True,True,True,True
11,15,True,True,True,True
