delay_ms,visibility,scan_points,file,distinction_exposure_from_system_not_predictive,schrodinger,GKLS_fit,PDT_ADDE_fit_same_as_GKLS
0.1,0.724690434335092,193,Ramsey/0+1/step_2_delay_0.1_ms.xlsx,-0.0,0.724690434335092,0.724690434335092,0.724690434335092
0.2,0.9293562871570918,182,Ramsey/0+1/step_2_delay_0.2_ms.xlsx,-0.35886693702930844,0.724690434335092,0.7242857746021563,0.7242857746021563
0.5,0.9196251824632895,183,Ramsey/0+1/step_2_delay_0.5_ms.xlsx,-0.34368112112177723,0.724690434335092,0.7230731506458872,0.7230731506458872
1.0,0.9621490538615656,181,Ramsey/0+1/step_2_delay_1_ms.xlsx,-0.408895558852112,0.724690434335092,0.7210566206319953,0.7210566206319953
2.0,0.946239078038523,183,Ramsey/0+1/step_2_delay_2_ms.xlsx,-0.3848398915225126,0.724690434335092,0.7170404162147254,0.7170404162147254
5.0,0.9124867597730371,181,Ramsey/0+1/step_2_delay_5_ms.xlsx,-0.3324387740880061,0.724690434335092,0.7051255241136488,0.7051255241136488
10.0,0.8577414312736202,180,Ramsey/0+1/step_2_delay_10_ms.xlsx,-0.2431779571481996,0.724690434335092,0.6857057147358657,0.6857057147358657
20.0,0.791585558788963,182,Ramsey/0+1/step_2_delay_20_ms.xlsx,-0.1273804415953688,0.724690434335092,0.648455884562563,0.648455884562563
40.0,0.6491767470430216,182,Ramsey/0+1/step_2_delay_40_ms.xlsx,0.15875352666275117,0.724690434335092,0.579916905456779,0.579916905456779
80.0,0.365734232875929,169,Ramsey/0+1/step_2_delay_80_ms.xlsx,0.9865691815153639,0.724690434335092,0.463806078853202,0.463806078853202
120.0,0.3205820572811314,181,Ramsey/0+1/step_2_delay_120_ms.xlsx,1.1766711700935435,0.724690434335092,0.37094293468086387,0.37094293468086387
